filename     , method , norme , relax , regul , ePredA , ePredB , ePredavg , eDistrA , eDistrB , eDistravg , cpu   
tab8.txt     , joint  , 0     , 0.40  , 0.10  , 0.244  , 0.066  , 0.155    , 0.074   , 0.030   , 0.052     , 0.13  
tab80.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.063  , 0.139    , 0.064   , 0.056   , 0.060     , 0.10  
tab81.txt    , joint  , 0     , 0.40  , 0.10  , 0.195  , 0.067  , 0.131    , 0.063   , 0.039   , 0.051     , 0.10  
tab82.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.063  , 0.136    , 0.111   , 0.063   , 0.087     , 0.13  
tab83.txt    , joint  , 0     , 0.40  , 0.10  , 0.196  , 0.062  , 0.129    , 0.075   , 0.045   , 0.060     , 0.10  
tab84.txt    , joint  , 0     , 0.40  , 0.10  , 0.211  , 0.142  , 0.176    , 0.119   , 0.121   , 0.120     , 0.11  
tab85.txt    , joint  , 0     , 0.40  , 0.10  , 0.222  , 0.070  , 0.146    , 0.096   , 0.044   , 0.070     , 0.13  
tab86.txt    , joint  , 0     , 0.40  , 0.10  , 0.192  , 0.274  , 0.233    , 0.076   , 0.137   , 0.107     , 0.11  
tab87.txt    , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.053  , 0.134    , 0.108   , 0.015   , 0.061     , 0.10  
tab88.txt    , joint  , 0     , 0.40  , 0.10  , 0.222  , 0.074  , 0.148    , 0.048   , 0.060   , 0.054     , 0.13  
tab89.txt    , joint  , 0     , 0.40  , 0.10  , 0.195  , 0.139  , 0.167    , 0.130   , 0.162   , 0.146     , 0.10  
tab9.txt     , joint  , 0     , 0.40  , 0.10  , 0.222  , 0.059  , 0.141    , 0.082   , 0.057   , 0.070     , 0.10  
tab90.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.075  , 0.146    , 0.080   , 0.025   , 0.053     , 0.13  
tab91.txt    , joint  , 0     , 0.40  , 0.10  , 0.180  , 0.137  , 0.159    , 0.126   , 0.107   , 0.117     , 0.10  
tab92.txt    , joint  , 0     , 0.40  , 0.10  , 0.194  , 0.080  , 0.137    , 0.084   , 0.089   , 0.086     , 0.11  
tab93.txt    , joint  , 0     , 0.40  , 0.10  , 0.206  , 0.156  , 0.181    , 0.081   , 0.119   , 0.100     , 0.13  
tab94.txt    , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.081  , 0.147    , 0.131   , 0.077   , 0.104     , 0.11  
tab95.txt    , joint  , 0     , 0.40  , 0.10  , 0.234  , 0.073  , 0.153    , 0.104   , 0.065   , 0.084     , 0.10  
tab96.txt    , joint  , 0     , 0.40  , 0.10  , 0.197  , 0.075  , 0.136    , 0.081   , 0.030   , 0.056     , 0.13  
tab97.txt    , joint  , 0     , 0.40  , 0.10  , 0.230  , 0.074  , 0.152    , 0.098   , 0.067   , 0.082     , 0.11  
tab98.txt    , joint  , 0     , 0.40  , 0.10  , 0.223  , 0.139  , 0.181    , 0.111   , 0.111   , 0.111     , 0.10  
tab99.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.069  , 0.139    , 0.065   , 0.053   , 0.059     , 0.13  
